Name,Category,Type,Description,Requires Auth,Icon,Tags
"ActiveCampaign Trigger","Triggers","Trigger","Handle ActiveCampaign events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Acuity Scheduling Trigger","Triggers","Trigger","Handle Acuity Scheduling events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Affinity Trigger","Triggers","Trigger","Handle Affinity events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Airtable Trigger","Triggers","Trigger","Starts the workflow when Airtable events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"AMQP Trigger","Triggers","Trigger","Listens to AMQP 1.0 Messages",Yes,⚡,"Triggers, Trigger, Auth Required"
"Asana Trigger","Triggers","Trigger","Starts the workflow when Asana events occur.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Autopilot Trigger","Triggers","Trigger","Handle Autopilot events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"AWS SNS Trigger","Triggers","Trigger","Handle AWS SNS events via webhooks",No,⚡,"Triggers, Trigger, No Auth"
"Bitbucket Trigger","Triggers","Trigger","Handle Bitbucket events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Box Trigger","Triggers","Trigger","Starts the workflow when Box events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Brevo Trigger","Triggers","Trigger","Starts the workflow when Brevo events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Cal.com Trigger","Triggers","Trigger","Handle Cal.com events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Calendly Trigger","Triggers","Trigger","Starts the workflow when Calendly events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Chargebee Trigger","Triggers","Trigger","Starts the workflow when Chargebee events occur",No,⚡,"Triggers, Trigger, No Auth"
"ClickUp Trigger","Triggers","Trigger","Handle ClickUp events via webhooks (Beta)",Yes,⚡,"Triggers, Trigger, Auth Required"
"Clockify Trigger","Triggers","Trigger","Listens to Clockify events",Yes,⚡,"Triggers, Trigger, Auth Required"
"ConvertKit Trigger","Triggers","Trigger","Handle ConvertKit events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Copper Trigger","Triggers","Trigger","Handle Copper events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Cron","Triggers","Trigger","Triggers the workflow at a specific time",No,⚡,"Triggers, Trigger, No Auth"
"Customer.io Trigger","Triggers","Trigger","Starts the workflow on a Customer.io update (Beta)",Yes,⚡,"Triggers, Trigger, Auth Required"
"Email Trigger (IMAP)","Triggers","Trigger","Triggers the workflow when a new email is received",No,⚡,"Triggers, Trigger, No Auth"
"Emelia Trigger","Triggers","Trigger","Handle Emelia campaign activity events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Error Trigger","Triggers","Trigger","Triggers the workflow when another workflow has an error",No,⚡,"Triggers, Trigger, No Auth"
"Eventbrite Trigger","Triggers","Trigger","Handle Eventbrite events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Execute Workflow Trigger","Triggers","Trigger","Helpers for calling other n8n workflows. Used for designing modular, microservice-like workflows.",No,⚡,"Triggers, Trigger, No Auth"
"Facebook Lead Ads Trigger","Triggers","Trigger","Handle Facebook Lead Ads events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Facebook Trigger","Triggers","Trigger","Starts the workflow when Facebook events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Figma Trigger (Beta)","Triggers","Trigger","Starts the workflow when Figma events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Flow Trigger","Triggers","Trigger","Handle Flow events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Form.io Trigger","Triggers","Trigger","Handle form.io events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Formstack Trigger","Triggers","Trigger","Starts the workflow on a Formstack form submission.",Yes,⚡,"Triggers, Trigger, Auth Required"
"GetResponse Trigger","Triggers","Trigger","Starts the workflow when GetResponse events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Github Trigger","Triggers","Trigger","Starts the workflow when Github events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"GitLab Trigger","Triggers","Trigger","Starts the workflow when GitLab events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Gmail Trigger","Triggers","Trigger","Fetches emails from Gmail and starts the workflow on specified polling intervals.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Google Business Profile Trigger","Triggers","Trigger","Fetches reviews from Google Business Profile and starts the workflow on specified polling intervals.",Yes,⚡,"Triggers, Trigger, Auth Required"
"Google Calendar Trigger","Triggers","Trigger","Starts the workflow when Google Calendar events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Google Drive Trigger","Triggers","Trigger","Starts the workflow when Google Drive events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Google Sheets Trigger","Triggers","Trigger","Starts the workflow when Google Sheets events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Gumroad Trigger","Triggers","Trigger","Handle Gumroad events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Help Scout Trigger","Triggers","Trigger","Starts the workflow when Help Scout events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"HubSpot Trigger","Triggers","Trigger","Starts the workflow when HubSpot events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Interval","Triggers","Trigger","Triggers the workflow in a given interval",No,⚡,"Triggers, Trigger, No Auth"
"Invoice Ninja Trigger","Triggers","Trigger","Starts the workflow when Invoice Ninja events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Jira Trigger","Triggers","Trigger","Starts the workflow when Jira events occur",Yes,⚡,"Triggers, Trigger, Auth Required"
"Jotform Trigger","Triggers","Trigger","Handle Jotform events via webhooks",Yes,⚡,"Triggers, Trigger, Auth Required"
"Kafka Trigger","Triggers","Trigger","Consume messages from a Kafka topic",Yes,⚡,"Triggers, Trigger, Auth Required"
